Protein,Coefficient,Abs_Coefficient
O95747,0.2214106350882912,0.2214106350882912
A0A0G2JM25,-0.19968290838590624,0.19968290838590624
F8W128,0.18954304955590826,0.18954304955590826
Q9Y5H1,-0.18807636779070067,0.18807636779070067
A0A286YFJ8,-0.1385932276083559,0.1385932276083559
Q13618,-0.0769723308410682,0.0769723308410682
C9JD20,-0.05899118446757732,0.05899118446757732
B8ZZQ2,-0.035880084260959774,0.035880084260959774
B7Z6D5,-0.01644491290783764,0.01644491290783764
Q9BVM2,-0.002352640692232516,0.002352640692232516
